asin,title,category_id,category_name,split
B079MDPR56,"Jurassic World Kids Headphones, Adjustable Headband, Stereo Sound, 3.5Mm Jack, Wired Headphones for Kids, Tangle-Free, Volume Control, Childrens Headphones Over Ear for School Home, Travel",71,Headphones & Earbuds,reference
B006XA7JY6,eKids IHOME Minnie Mouse Headphones,71,Headphones & Earbuds,test
B00HYH7HXA,V-MODA Crossfade LP2 Vocal Limited Edition Over-Ear Noise-Isolating Metal Headphone - Matte Black,71,Headphones & Earbuds,reference
B004Z4C0RI,"Disney Princess Kids Headphones For Kids Adjustable Stereo Tangle-Free 3.5Mm Jack Wired Cord Over Ear Headset For Children Parental Volume Control Kid Friendly Safe (Frustration Free Packaging), DP-140.EXv6, Pink",71,Headphones & Earbuds,test
B01AIO8XVA,"AKG Pro Audio K92 Over-Ear, Closed-Back, Studio Headphones, Matte Black and Gold",71,Headphones & Earbuds,reference
B08VRR81CC,"MIPEACE Ear plug Headphones For Work, custom-fit work earbuds earphones-safety headphones for construction industrial",71,Headphones & Earbuds,reference
B0C5F7JYJC,MUSICOZY Sleep Headphones Bluetooth Sleep Eye Mask for Sleeping Wireless Music Sleeping Headphones Headband Eye Mask Sleep Earbuds for Side Sleepers Men Women with Speakers Cool Tech Gadgets,71,Headphones & Earbuds,test
B00EWOK09G,"Shure SE112 PRO Wired Earbuds - Professional Sound Isolating Earphones with Single Dynamic MicroDriver, Secure In-Ear Fit, Fixed Cable, Durable Quality - Gray (SE112-GR)",71,Headphones & Earbuds,reference
B00HVLUR54,"Audio-Technica ATH-M40x Professional Studio Monitor Headphone, Black, with Cutting Edge Engineering, 90 Degree Swiveling Earcups, Pro-grade Earpads/Headband, Detachable Cables Included",71,Headphones & Earbuds,test
B08WJLZVHB,"3M Pro-Comms Electronic Hearing Protection with Bluetooth Wireless Technology and External Microphones, Bluetooth Headphones, NRR 26 dB,Black/Red",71,Headphones & Earbuds,test
B0916NP7YV,Young Men's School Uniform Long Sleeve Performance Oxford Button-Down Shirt,110,Men's Clothing,reference
B09M5ZK6PY,Men's Woven Silk Dress Shirt Button Down Casual Jacquard Shirts Long-Sleeve Shirt Prom Wedding Regular Fit,110,Men's Clothing,test
B09VS52LZ2,Men's 3-Pack Tank Top,110,Men's Clothing,reference
B07DGSSHJX,"Men's Shorts, Powerblend, Fleece, Soft Fleece Shorts for Men (Reg. or Big & Tall)",110,Men's Clothing,reference
B07HPGVJPN,"Sweatproof Mens Boxer Briefs Modal Fly Underwear w Sweat Pads, Silver Treated to Fight Odor, Aluminum Free Alternative",110,Men's Clothing,test
B06XHVMV9C,"Men's Athletic Gym Mesh Shorts with Pockets, Lightweight, Quick Dry, Breathable",110,Men's Clothing,test
B000BRUGKQ,Mens Heavy Blend Hooded Sweatshirt,110,Men's Clothing,test
B01MY10ZEG,10P Pack Men's Cotton Moisture Wicking Cushion Low Cut Socks,110,Men's Clothing,reference
B09R2XGLBW,Men's Elastic Drawstring Waist Scrub Pant,110,Men's Clothing,reference
B06WP2MM64,Fox River - Wick Dry CoolMax Liner Socks - 3 Pack,110,Men's Clothing,test
B09CPPZSVC,Women's Sexy Elegant Ruffle Long Sleeve Off Shoulder Ruched Party Mini Dress,116,Women's Clothing,reference
B09BN4BBBG,Women's Graphic Print Blazer Button Open Front Long Sleeve Jacket Multicolored,116,Women's Clothing,test
B08N5K6DT1,"Girls' Seamless Soft Cup Bra, 2-Pack",116,Women's Clothing,test
B097P3DGGP,Women's Crewneck Tunics Color Block Comfy Soft Long Sleeve T Shirt Tops,116,Women's Clothing,reference
B01CSC6MM2,Women's Faux Leather Moto Biker Short Coat Jacket,116,Women's Clothing,test
B089SZ26DR,"Lightweight Women's 28""/30""/32""/34""/36"" Tall Inseam Cotton Soft Jogger with Zipper Pockets Cargo Pants",116,Women's Clothing,test
B01MU8SKPF,Women's Plus Size Nursing Bra Support Nursing Sports Bra Cotton Breastfeeding Maternity Bras,116,Women's Clothing,reference
B00GJASUL6,Bali Women's Comfort Revolution Crop Top,116,Women's Clothing,reference
B0CC46J9RQ,Women‘s Yoga Jumpsuits Ribbed One Piece Workout Short Sleeve Tops Exercise Jumpsuits,116,Women's Clothing,test
B0B68C55BC,Women's Spaghetti Straps Satin Ruched Tie Waist Cowl Neck Party Mini Dress,116,Women's Clothing,reference
B0CFF19P9D,"Electric Toothbrush for Adults, Sonic Toothbrush with 3 Intensity Levels & 5 Modes, One Charge for 60 Days, Rechargeable Electric Toothbrush with 6 Toothbrush Heads & 40,000 VPM Deep Clean(Black)",126,Oral Care Products,reference
B075FJBZ8Q,"Plackers 303290518 Twin Line Whitening Floss Picks, Blue, 75 Count (Pack of 4)",126,Oral Care Products,test
B00VQU2PCY,"REDMOND Earthpaste - Natural Non-Fluoride Toothpaste, 4 Ounce Tube (3 Pack, Peppermint)",126,Oral Care Products,reference
B074TJ5CGC,Dental Interproximal Reduction (IPR) Gauge Measure Tooth Gap Stainless Steel Reciprocating IPR System Orthodontic,126,Oral Care Products,reference
B088Q5RPZ9,"Teeth Whitening Kit with LED Light, 35% Carbamide Peroxide, Teeth Whitening Gel, Helps to Remove Stains from Coffee, Smoking, Wines, Soda, Food, Home Dental Products for Sensitive Teeth",126,Oral Care Products,test
B0063GMAAI,"The Doctor's BrushPicks Interdental Toothpicks, 275 pieces per Pack (1-Pack)",126,Oral Care Products,test
B09LD8PTNJ,"PHILIPS Sonicare 2100 Power Toothbrush, Rechargeable Electric Toothbrush, White Mint, HX3661/04",126,Oral Care Products,test
B086BSWPX7,AquaSonic Proflex Replacement Brush Heads | for Whiter Teeth & Gum Care | Compatible with Many AquaSonic Toothbrush Handles (3 Pack Black),126,Oral Care Products,reference
B00KTPKPQA,dōTERRA On Guard® Natural Whitening Toothpaste 4.2oz (2 Pack),126,Oral Care Products,reference
B0C2T9ZQDR,Replacement Toothbrush Heads Fits Oral B Braun for Precision/Precision Clean PRO/Sensitive/Cross Clean Replacement Brush Heads Pack of 8 Black Standard Clean Heads Refill for 7000/Pro1000/3000/8000,126,Oral Care Products,test
B095K5R5ZR,"Rechargeable Fabric Shaver, Electric Commercial Lint Remover with LED Display & Big Trash Box, 3-Speeds for Removing Fuzz and Pill from Clothes, Furniture, Sweater, Couch and Blanket, Silver",130,Household Supplies,test
B088BBV7DS,"POWEROWL High Capacity LR44 Batteries 40 Pack, L1154F AG13 357 303 SR44 A76 Premium Alkaline Battery 1.5V Button Coin Cell Batteries",130,Household Supplies,test
B00OHZ78RM,"ATTITUDE Liquid Fabric Softener, Plant- and Mineral-Based Effective Formula, Vegan and Cruelty-free, Wildflowers, 40 Loads, 33.8 Fl Oz",130,Household Supplies,test
B082L49F6S,20 pcs Pack LR41 AG3 SR41 392 384 192 Battery 1.5V Button Coin Cell Batteries,130,Household Supplies,test
B09VGZ4DTN,"Bug Zapper Light Bulb Replacement for 15W Bug Zapper with 4-Pin Base, Ful 15W-BL U Shaped Twin Tube Bulb for T6 Insect Attracting Lamp, 2 Pack",130,Household Supplies,reference
B09LM56LJ3,"[2 Pack] Laundry Detergent Cup Holder, Detergent Drip Catcher (Upgraded Drip Tray), No More Mess or Leaks, Grip Style",130,Household Supplies,reference
B004R1BM0U,"Energizer CR2 Lithium Battery, Pack of 2",130,Household Supplies,test
B0C53LZN7M,"24 Pack Cowboy Boot Shot Glass Light Up Plastic Shot Glasses 1.5 oz Flashing Shot Cups with Detachable Soles, Party Decorations Bachelorette Party Favors Cowgirl Decorations for Birthday Wedding etc",130,Household Supplies,reference
B086Q74D9Z,"Carbona Oxy-Powered Pet Stain & Odor Remover w/ Active Foam Technology | 22 Fl Oz, 2 Pack",130,Household Supplies,reference
B000YHO5MI,"Duracell Alkaline Powerboost AA4 Battery, 4 Count",130,Household Supplies,reference
B07SVSX641,"BOURINA Fluffy Chenille Knitted Fringe Throw Blanket Lightweight Soft Cozy for Bed Sofa Chair Throw Blankets, Navy 50"" x 60""",164,Bedding,reference
B0BX92ZT75,"Touchat Wearable Blanket Hoodie, Oversized Sherpa Fleece Sweatshirt Blanket with Giant Hood Pocket and Sleeves for Adult, Warm & Cozy Grey Hooded Blanket Gifts for Adult Women Men",164,Bedding,test
B0B5RPHDJ4,Viscose Body Pillows with 100% Viscose Cover Full 21x54 Body Pillows for Adults Premium Adjustable Quilted Body Pillows Firm and Fluffy Pillow (Gray),164,Bedding,test
B08M8ZNPTZ,AOYEGO Hey Baby Opossum Throw Pillow Cover Cute Animal Pillow Case 18x18 Inch Decorative Men Women Boy Girl Room Cushion Covers for Home Couch Bed,164,Bedding,reference
B0B31P88GB,"Leg Elevation Pillow Inflatable, Wedge Pillows for Sleeping, Comfort Leg Pillows Improve Circulation, Suitable for Relax Muscles & Comfort Swelling, Pregnant, Surgery and Injury",164,Bedding,test
B09N8P5379,"Standard Size Pillow Shams Set of 2, Ultra Soft Breathable 20 x 26 Inches Pillow Case Envelope Closure, Microfiber Farmhouse Bed Pillowcases for Easy Care, White",164,Bedding,test
B07BQS94FY,"3 Piece Satin Duvet Cover Set Bedding Sets Queen Black 1800 Series Luxury Rich Silk Silky Super Soft Solid Color Reversible Zipper Closure Sexy Honeymoon Wrinkle Free (Queen, Black)",164,Bedding,reference
B07283237Y,"U-Haul King Pillow Top Mattress Bag (Fits Mattresses up to 17"" Thick) - 78"" x 103"" x 17""",164,Bedding,test
B082PHJMZR,"Sealy Butterfly Breathable Cotton Non-Toxic Waterproof Premium Foam Baby Crib Mattress & Toddler Bed Mattress, Waterproof Crib Mattress, American Foam GREENGUARD GOLD Certified, Made in USA, 52""x28""",164,Bedding,reference
B00LZ5NA1U,2000017848,164,Bedding,reference
B07VR1PRX1,"4 Pcs, [Microfiber] Hand [Duster] [Washable] Microfibre Cleaning Tool Extendable [Duster]s for Cleaning Office, Car, Computer, Air Condition",167,Household Cleaning Supplies,reference
B0833F8HWB,"Clear Kitchen Trash Bags 7-10 Gallon Clear Plastic Garbage Bag for Kitchen, Home, Office, Bathroom - Wastebasket Bin Liners - High Density, Leak-Proof Waste Basket Bags 24x24-48 Pack",167,Household Cleaning Supplies,test
B099GCSSM1,"MagicFiber Microfiber Cleaning Cloth (12 Pack,13x13 in) - Thick, Soft, & Ultra Absorbent Reusable Microfiber Towel, Cleaning Rags, Micro Fiber Cloths or Dusting, Windows, Kitchenware, Cars & More!",167,Household Cleaning Supplies,test
B07ML4GD4P,Bambaw Bottle Cleaner Brush Set | 4 Cleaning Brushes | Bottle Brush Cleaner Set | Water Bottle Brush | Bottle Scrubber | Small & Long Bottle Brush for Glass - Soft Cotton Tip to Prevent Scratches,167,Household Cleaning Supplies,test
B00OCU7YEY,iCloth Lens Cleaning Wipes [5 x 3.5 Inches - 30 Wipes] Safe for All Screens,167,Household Cleaning Supplies,reference
B0BVC3YNMH,"Spin Mop Kit (𝙉𝙤 𝘽𝙪𝙘𝙠𝙚𝙩), Compatible with O-Cedar 1-Tank System Triangle Spin Mop, 60"" Multi-Size Combination Handle, 5 Pack Microfiber Head Refills, 1 Pack Replacement Base Part.",167,Household Cleaning Supplies,reference
B0781RM4S5,"Fresh Towel Ultra Strong Center Pull Shop Towels - (1 Box of 300) Disposable Cleaning Towels - White, 9 x 12 inches - FT500",167,Household Cleaning Supplies,reference
B0BKFRPH15,Silicone Toilet Brush 2 Pack Toilet Bowl Brush and Holder Toilet Cleaner Brush with Silicone Bristles Ventilated Toilet Brushes for Bathroom with Holder for Toilet Scrubber Cleaning,167,Household Cleaning Supplies,test
B09PGXCSM9,"Disposable Gloves - Stretch Poly, Clear, Food Prep&Cooking Gloves - Safe, Nitrile, Vinyl, Latex and Powder Free",167,Household Cleaning Supplies,reference
B09QD9LPGN,"Wipex Gym Wipes Antibacterial Refills - EPA Registered Bulk Size Disinfecting Cleaning Wipes for Dispensers, Safely Kill Viruses and Bacteria in 15 Seconds, Sanitize Gym Equipment, Fitness Equipment and Surfaces, 800ct Gym Refill Rolls",167,Household Cleaning Supplies,test
B077KQB7SJ,"KSPOWWIN Biscuit Cookie Cutters Set,Stainless Steel Circle Round Cookie Biscuit Cutters in Graduated Sizes Shape Molds for Pastries Doughs Doughnuts, 5 Pieces",170,Kitchen & Dining,test
B07RPXTKMK,"Waterproof Refrigerator Fridge Thermometer, Digital Freezer Room Thermometer, Max/Min Record Function Large LCD Screen and Magnetic Back for Kitchen, Home, Restaurants (2 Pack)",170,Kitchen & Dining,reference
B00A7V9AVC,"FastRack Glass Water Bottle Includes 38 mm Polyseal Cap, 1 gallon Capacity, Clear",170,Kitchen & Dining,reference
B09W4GL91J,"GE 3-in-1 Countertop Microwave Oven | Complete With Air Fryer, Broiler & Convection Mode | 1.0 Cubic Feet Capacity, 1,050 Watts | Kitchen Essentials for the Countertop or Dorm Room | Stainless Steel",170,Kitchen & Dining,test
B07GSSR5V2,Souper Cubes 1 Cup Silicone Freezer Tray With Lid - Easy Meal Prep Container and Kitchen Storage Solution - Silicone Molds for Soup and Food Storage - Aqua - 2-Pack,170,Kitchen & Dining,reference
B07TKMY2NW,"KitchenAid Gourmet Stainless Steel Wire Masher, 10.24-Inch, Black",170,Kitchen & Dining,test
B09SQ4SSL6,"Cutting Boards for Kitchen - Plastic Board Set of 3, Dishwasher Safe with Juice Grooves, Thick Chopping Meat, Veggies, Fruits, Easy Grip Handle, Non-Slip (Black)",170,Kitchen & Dining,test
B073H8S6NZ,Trung Nguyen — G7 Strong X2 3 in 1 Instant Coffee — Roasted Ground Coffee Blend w/Non-dairy Creamer and Sugar — Strong and Bold — Instant Vietnamese Coffee (24 Single Serve Packets),170,Kitchen & Dining,reference
B00LLILH98,"Flavored Coffee in Single Serve Coffee Pods - Flavor Coffee Variety Pack for Keurig K Cups Machine from Crazy Cups, 30 Count",170,Kitchen & Dining,test
B0C6LTC7WB,"AIERSA 10Pcs Straw Cover Cap for Stanley Cup, Silicone Straw Topper Compatible with Stanley 30&40 Oz Tumbler with Handle",170,Kitchen & Dining,reference
